method,seed,planned_mwh,emergency_mwh,late_mwh,undelivered_mwh
GRU-MAPPO,30,21.252972801208497,3.6784983825683595,20.321529968261718,9.469326171875
GRU-MAPPO,31,25.567707778930664,7.033260047912598,19.069585266113283,10.362890625
GRU-MAPPO,32,23.821563499450683,2.8000127334594724,25.905013916015626,10.1961728515625
Fixed-penalty GRU-MAPPO,30,172.12304483032227,40.85432945251465,89.20522119140625,71.0039453125
Fixed-penalty GRU-MAPPO,31,181.8650182495117,51.87302207946777,96.80178588867187,81.0455
Fixed-penalty GRU-MAPPO,32,178.47871438598634,46.444450942993164,94.2353316040039,75.658015625
SGR-MACPO,30,40.24845325231552,38.75465411186218,14.355346416950226,7.7940283203125
SGR-MACPO,31,58.07879130172729,48.308990520477295,19.265525856018066,9.626970703125
SGR-MACPO,32,43.43429624176025,43.16264447402954,13.377458387374878,8.3808515625
