method,hour,electricity_cda_mwh,electricity_clearing_price,electricity_external_buy_mwh,electricity_external_sell_mwh,hydrogen_cda_mwh,hydrogen_clearing_price,hydrogen_external_buy_mwh,hydrogen_external_sell_mwh,minimum_voltage_pu,raw_voltage_cost
MAPPO,1,0.0,0.6,3.1062733764648436,1.248636474609375,1.9130526123046876,17.233333587646484,0.6409566955566406,0.0,0.9655415036161697,0.0
MAPPO,2,0.0,0.6,2.8382718505859375,1.0392734375,2.141205093383789,18.353775024414062,0.0,0.0,0.9667848158386139,0.0
MAPPO,3,0.0,0.6,2.771305969238281,0.950109375,2.1674539184570314,19.14550018310547,0.0,0.0,0.966915034885384,0.0
MAPPO,4,0.0,0.6,2.5147491149902343,0.9932451171875,2.1528914260864256,19.63079261779785,0.0,0.0,0.9692934305459427,0.0
MAPPO,5,0.0,0.6,2.374250549316406,1.068186279296875,2.1251043090820314,19.930438995361328,7.62939453125e-09,0.0,0.9708857607433475,0.0
MAPPO,6,0.0,0.6,2.392578125,1.0449765625,2.100948547363281,20.123876571655273,7.62939453125e-09,0.0,0.97049967631392,0.0
MAPPO,7,0.0,0.6,2.323804840087891,1.0575306396484374,2.0151029815673827,20.260456085205078,7.62939453125e-09,0.0,0.9705250017484679,0.0
MAPPO,8,0.0,0.6,1.6271665802001953,0.8276119384765624,1.8490879440307617,20.369375228881836,3.0517578125e-08,0.0,0.9726875178935768,0.0
MAPPO,9,0.6108764038085938,0.36548668146133423,0.2716575927734375,0.7891343994140625,0.01761212158203125,12.040410041809082,1.52587890625e-08,1.6512749633789063,0.979825172244488,0.0
MAPPO,10,0.4616365356445313,0.36472636461257935,0.0,2.7876051025390627,1.625101448059082,20.54256248474121,0.2044854736328125,0.0,0.9940170400339642,0.0
MAPPO,11,0.08552383422851563,0.5744008421897888,0.0,4.564833984375,1.6330666732788086,20.602888107299805,0.18656689453125,0.0,0.9985641107739621,0.0
MAPPO,12,0.16155885314941407,0.5726565718650818,0.0,5.827289581298828,1.7108892517089844,20.63726806640625,0.0543609619140625,0.0,0.9990109423560689,0.0
MAPPO,13,0.09941997528076171,0.5715544819831848,0.0,6.729477569580078,1.7696987915039062,20.658292770385742,3.0517578125e-08,0.0,0.9993239046279794,0.0
MAPPO,14,0.04152999496459961,0.5708848834037781,0.0,7.087825469970703,1.8454935607910157,20.662813186645508,3.0517578125e-08,0.0,0.9994602939308452,0.0
MAPPO,15,0.0,0.5708848834037781,0.0,6.915464813232422,1.8706680908203126,20.652145385742188,1.52587890625e-08,0.0,0.9994163972970044,0.0
MAPPO,16,0.0,0.5708848834037781,0.0,5.740754837036133,1.850040069580078,20.622434616088867,4.57763671875e-08,0.0,0.9990150878195834,0.0
MAPPO,17,0.0,0.5708848834037781,0.0,3.743965591430664,2.25756103515625,20.58871078491211,6.103515625e-08,0.0,0.9983213832048885,0.0
MAPPO,18,0.3348984031677246,0.36240383982658386,0.0,0.9728203735351563,2.274888427734375,20.540067672729492,6.103515625e-08,0.0,0.9837835796849295,0.0
MAPPO,19,0.0,0.36240383982658386,1.7211880950927734,0.0,2.006447021484375,20.50027084350586,0.0,0.24796920776367187,0.9659022012301991,0.0
MAPPO,20,0.0,0.36240383982658386,4.032871490478516,0.0,1.955158447265625,20.44619369506836,6.103515625e-08,0.2630787353515625,0.9492265392256728,0.003404309200235156
MAPPO,21,0.0,0.36240383982658386,6.024190002441406,0.0,2.1109755859375,20.38642692565918,0.8802136535644531,0.0,0.9333774453890008,0.3394173587261142
MAPPO,22,0.0,0.36240383982658386,6.4621666870117185,0.0,2.13024267578125,20.325777053833008,0.8334286193847656,0.0,0.9308844882755022,0.4133956524955331
MAPPO,23,0.0,0.36240383982658386,5.487416687011719,0.0,2.317904296875,20.281110763549805,3.0517578125e-08,0.0,0.9398341569208193,0.18696519898563324
MAPPO,24,0.0,0.36240383982658386,4.2026607666015625,0.0,1.86794140625,20.24575424194336,3.0517578125e-08,0.593311279296875,0.9500683399392149,0.0
Fixed-penalty MAPPO,1,1.146737548828125,0.226258784532547,1.512662109375,1.316270263671875,0.440690673828125,15.448716163635254,1.2813600463867187,0.6733521118164062,0.9758212209440926,0.0
