scenario,hour,h2_load_mwh,electrolyzer_power_mw,planned_order_mwh,emergency_supply_mwh,late_order_mwh,tank_energy_mwh,pending_energy_mwh,voltage_min_pu
Delayed delivery,1,2.1801473083496092,3.1413404235839844,5.186880615234375,0.6082022705078125,0.0,20.809085773773194,5.35988623046875,0.9761908617658926
Delayed delivery,2,1.6612477645874024,2.8319615020751954,4.08284521484375,0.2990731201171875,0.0,20.55242682106018,9.5945947265625,0.9843585984325914
Delayed delivery,3,1.3966660537719726,2.217955375671387,2.7818887939453125,3.814697265625e-09,0.0,20.405702806777953,12.468333984375,0.9874721093195223
Delayed delivery,4,1.3076722106933594,1.4010418014526367,1.315062225341797,0.63620703125,0.0,20.61440970703125,13.775359375,0.989833441585234
Delayed delivery,5,1.3394149627685548,0.9095620956420899,2.5146991271972654,1.1149846267700196,0.0,26.343572552947997,10.8273173828125,0.9916378762466039
Delayed delivery,6,1.4780209350585938,0.6672780303955078,2.4392813415527344,1.4510477409362792,0.0,32.80572229385376,7.10134619140625,0.9958941609675146
Delayed delivery,7,1.9026568756103515,0.5890985984802246,2.1974697494506836,1.6662148475646972,0.0,34.847771181335446,7.30513232421875,0.9954329606986994
Delayed delivery,8,2.797407287597656,0.5733795394897461,1.9675975341796874,0.4778669052124023,0.0,34.24645751907348,7.8379462890625,0.9982328932443355
Delayed delivery,9,3.8854776611328123,0.6036037788391113,1.5933045349121093,0.21968298721313476,0.0,31.84861866279602,8.05243994140625,0.9987049137669037
Delayed delivery,10,4.239390533447265,0.7150524520874023,1.373677848815918,0.24908081436157226,0.0,29.696552574806212,7.99122216796875,0.9994117791773837
Delayed delivery,11,4.182774353027344,0.8327852478027343,0.8719461460113526,0.6479229431152344,0.0,26.798926526241303,7.78955322265625,0.9999612933712839
Delayed delivery,12,4.073186065673828,0.9518442745208741,1.333708652496338,2.0076456565856935,0.0,29.01884109146118,5.4100146484375,1.0
Delayed delivery,13,4.005171813964844,0.9794457130432129,1.2275375699996949,2.061736764907837,0.0,28.226503824119565,5.14871533203125,1.0
Delayed delivery,14,3.9423002166748047,0.9995359573364258,1.1709386224746705,1.8855992031097413,0.0,26.816877522811886,5.40809619140625,1.0
Delayed delivery,15,3.7623243408203124,1.0122979393005371,1.1655212726593018,1.897653890609741,1.1655212726593018,26.115078825931548,3.636728515625,1.0
Delayed delivery,16,3.7078518676757812,1.014295482635498,1.1464561653137206,1.705518238067627,1.1464561653137206,25.226173572006225,3.49302294921875,1.0
Delayed delivery,17,3.5865071716308594,1.0085288734436035,0.9447679138183593,1.5302041625976563,0.9447679748535156,24.212545785884856,3.206365234375,0.9997291941790243
Delayed delivery,18,3.6457335510253905,1.037435064315796,1.021907382965088,1.5215426330566406,1.0219074440002442,23.067403569717406,3.04928271484375,0.9987805545494289
Delayed delivery,19,3.6790534057617186,1.0438964767456054,1.406467887878418,1.419965950012207,1.406467887878418,21.756965689945222,3.261552490234375,0.9887198121689793
Delayed delivery,20,3.9907491455078126,1.0059817981719972,1.109770938873291,1.963201693534851,1.109770938873291,20.425498533611297,4.2713212890625,0.9730964776148509
Delayed delivery,21,5.089973785400391,1.035933811187744,1.5217955417633056,3.2843294897079467,1.5217955417633056,19.28774598215103,4.86841162109375,0.9580190276382978
Delayed delivery,22,5.014227813720703,1.0495999507904052,1.6159704875946046,6.323610809326172,1.6159704875946046,21.642482561359405,6.0540576171875,0.9572422358159942
Delayed delivery,23,3.9029498596191408,1.050541675567627,1.6969986057281494,5.921103668212891,1.6969986057281494,24.34973922357559,6.75749169921875,0.9661908908393106
Delayed delivery,24,2.9489173431396485,1.0557170085906982,1.747802068710327,4.2702490234375,1.747802068710327,26.418436383361815,8.3808515625,0.975795297981439
Instant delivery,1,2.1801473083496092,3.1413404235839844,5.186880615234375,0.0,0.0,25.784097866363524,0.0,0.9761908617658926
Instant delivery,2,1.6612477645874024,2.858447006225586,3.6405076904296876,0.0,0.0,29.21421543228149,0.0,0.9841007289274308
Instant delivery,3,1.3966660537719726,2.2914370193481446,2.0485518798828126,0.0,0.0,31.35953107131958,0.0,0.9868085343002445
Instant delivery,4,1.3076722106933594,1.5633082313537598,1.1572201843261718,0.0,0.0,32.23412011734009,0.0,0.9887706006389736
Instant delivery,5,1.3394149627685548,1.1579240036010743,1.8060860748291017,0.1852047119140625,0.0,33.64165350357055,0.0,0.9897082302902586
Instant delivery,6,1.4780209350585938,0.9694678153991699,1.149027458190918,0.4824219970703125,0.0,34.42619672515869,0.0,0.9937202598656913
Instant delivery,7,1.9026568756103515,0.918725959777832,1.3796627731323243,0.6685452880859375,0.0,35.16911304702759,0.0,0.9930219079036048
Instant delivery,8,2.797407287597656,0.8818340816497803,0.8951054458618164,0.9838347778320312,0.0,34.82403596557617,0.0,0.9959006095917713
Instant delivery,9,3.8854776611328123,0.8993097515106201,1.0782397155761718,0.12147308349609375,0.0,32.722488837432856,0.0,0.9986017765742226
Instant delivery,10,4.239390533447265,0.913405746459961,0.8855240249633789,0.0,0.0,29.368810668640137,0.0,0.9993451170202764
Instant delivery,11,4.182774353027344,0.9322963905334473,0.9971104297637939,0.0,0.0,26.21827520336151,0.0,0.999928763309842
Instant delivery,12,4.073186065673828,0.9539378070831299,0.8358192443847656,1.21368994140625,0.0,24.22934794232368,0.0,1.0
Instant delivery,13,4.005171813964844,0.97463157081604,1.0296598930358887,1.8053751220703125,0.0,23.088570988082882,0.0,1.0
Instant delivery,14,3.9423002166748047,0.9509465999603272,0.7804286041259766,1.75218359375,0.0,21.741314217224122,0.0,1.0
Instant delivery,15,3.7623243408203124,0.9848503532409668,0.8291262884140015,1.68208056640625,0.0,20.526494241542817,0.0,1.0
Instant delivery,16,3.7078518676757812,1.0041439514160155,1.0248874740600586,2.0252435302734373,0.0,19.872725154876708,0.0,1.0
Instant delivery,17,3.5865071716308594,0.9564856834411621,0.9573174629211426,2.157529296875,0.0,19.455442058258058,0.0,0.9997463982301583
Instant delivery,18,3.6457335510253905,0.9263866996765137,0.9241422700881958,2.2445799560546873,0.0,19.073404002456662,0.0,0.9988189236771652
Instant delivery,19,3.6790534057617186,0.9062515716552735,0.9005621128082275,2.23740380859375,0.0,18.672598368644714,0.0,0.9896582890669313
Instant delivery,20,3.9907491455078126,0.8917452716827392,0.8894771614074707,2.49856787109375,0.0,18.262811546859737,0.0,0.9739435812583118
Instant delivery,21,5.089973785400391,0.8763260955810547,0.8732670669555664,3.4784754638671873,0.0,17.80595625886917,0.0,0.9592263898339511
Instant delivery,22,5.014227813720703,0.8601726531982422,0.8630082025527954,3.7536837158203125,0.0,17.6649,0.0,0.9586799540546317
Instant delivery,23,3.9029498596191408,0.8390082740783691,0.85243159532547,2.8581947326660155,0.0,17.6649,0.0,0.9677786722196471
Instant delivery,24,2.9489173431396485,0.8326160049438477,0.8234092388153076,1.9725475158691406,0.0,17.6649,0.0,0.977433440252603
