scenario,hour,h2_cda_mwh,h2_clearing_price,planned_external_order_mwh,emergency_supply_mwh,pending_energy_mwh,tank_energy_mwh,electrolyzer_power_mw
Delayed delivery,1,0.3963341064453125,13.796985626220703,5.186880615234375,0.6082022705078125,5.35988623046875,20.809085773773194,3.1413404235839844
Delayed delivery,2,0.32830963134765623,11.12883186340332,4.08284521484375,0.2990731201171875,9.5945947265625,20.55242682106018,2.8319615020751954
Delayed delivery,3,0.19591488647460936,8.15810775756836,2.7818887939453125,3.814697265625e-09,12.468333984375,20.405702806777953,2.217955375671387
Delayed delivery,4,0.039157386779785155,27.554140090942383,1.315062225341797,0.63620703125,13.775359375,20.61440970703125,1.4010418014526367
Delayed delivery,5,0.0,27.554140090942383,2.5146991271972654,1.1149846267700196,10.8273173828125,26.343572552947997,0.9095620956420899
Delayed delivery,6,0.0,27.554140090942383,2.4392813415527344,1.4510477409362792,7.10134619140625,32.80572229385376,0.6672780303955078
Delayed delivery,7,0.0,27.554140090942383,2.1974697494506836,1.6662148475646972,7.30513232421875,34.847771181335446,0.5890985984802246
Delayed delivery,8,5.7220458984375e-09,3.8222758769989014,1.9675975341796874,0.4778669052124023,7.8379462890625,34.24645751907348,0.5733795394897461
Delayed delivery,9,9.5367431640625e-09,3.716947317123413,1.5933045349121093,0.21968298721313476,8.05243994140625,31.84861866279602,0.6036037788391113
Delayed delivery,10,3.814697265625e-09,3.665192127227783,1.373677848815918,0.24908081436157226,7.99122216796875,29.696552574806212,0.7150524520874023
Delayed delivery,11,2.288818359375e-08,28.94952964782715,0.8719461460113526,0.6479229431152344,7.78955322265625,26.798926526241303,0.8327852478027343
Delayed delivery,12,8.58306884765625e-09,3.7096657752990723,1.333708652496338,2.0076456565856935,5.4100146484375,29.01884109146118,0.9518442745208741
Delayed delivery,13,0.0,3.7096657752990723,1.2275375699996949,2.061736764907837,5.14871533203125,28.226503824119565,0.9794457130432129
Delayed delivery,14,0.0,3.7096657752990723,1.1709386224746705,1.8855992031097413,5.40809619140625,26.816877522811886,0.9995359573364258
Delayed delivery,15,0.0,3.7096657752990723,1.1655212726593018,1.897653890609741,3.636728515625,26.115078825931548,1.0122979393005371
Delayed delivery,16,2.86102294921875e-09,3.807530403137207,1.1464561653137206,1.705518238067627,3.49302294921875,25.226173572006225,1.014295482635498
Delayed delivery,17,3.814697265625e-08,29.16307830810547,0.9447679138183593,1.5302041625976563,3.206365234375,24.212545785884856,1.0085288734436035
Delayed delivery,18,3.719329833984375e-08,29.484031677246094,1.021907382965088,1.5215426330566406,3.04928271484375,23.067403569717406,1.037435064315796
Delayed delivery,19,2.86102294921875e-09,4.130427360534668,1.406467887878418,1.419965950012207,3.261552490234375,21.756965689945222,1.0438964767456054
Delayed delivery,20,1.52587890625e-08,29.200759887695312,1.109770938873291,1.963201693534851,4.2713212890625,20.425498533611297,1.0059817981719972
Delayed delivery,21,0.0,29.200759887695312,1.5217955417633056,3.2843294897079467,4.86841162109375,19.28774598215103,1.035933811187744
Delayed delivery,22,0.0,29.200759887695312,1.6159704875946046,6.323610809326172,6.0540576171875,21.642482561359405,1.0495999507904052
Delayed delivery,23,0.0,29.200759887695312,1.6969986057281494,5.921103668212891,6.75749169921875,24.34973922357559,1.050541675567627
Delayed delivery,24,0.0,29.200759887695312,1.747802068710327,4.2702490234375,8.3808515625,26.418436383361815,1.0557170085906982
Instant delivery,1,0.3963341064453125,13.796985626220703,5.186880615234375,0.0,0.0,25.784097866363524,3.1413404235839844
Instant delivery,2,0.32830963134765623,11.12883186340332,3.6405076904296876,0.0,0.0,29.21421543228149,2.858447006225586
Instant delivery,3,0.19591488647460936,8.15810775756836,2.0485518798828126,0.0,0.0,31.35953107131958,2.2914370193481446
Instant delivery,4,0.039157482147216795,27.554645538330078,1.1572201843261718,0.0,0.0,32.23412011734009,1.5633082313537598
Instant delivery,5,0.0,27.554645538330078,1.8060860748291017,0.1852047119140625,0.0,33.64165350357055,1.1579240036010743
Instant delivery,6,1.52587890625e-08,29.298751831054688,1.149027458190918,0.4824219970703125,0.0,34.42619672515869,0.9694678153991699
Instant delivery,7,5.7220458984375e-09,3.933143138885498,1.3796627731323243,0.6685452880859375,0.0,35.16911304702759,0.918725959777832
