method,hour,aggregate_pcc_p_mw,aggregate_pcc_q_mvar,voltage_min_pu,voltage_max_pu,hourly_voltage_cost
GRU-MAPPO,1,1.8576369018554688,0.7326306762695313,0.9655415036163403,1.0,0.0
GRU-MAPPO,2,1.7989984130859376,0.5724522857666016,0.9667848158389877,1.0,0.0
GRU-MAPPO,3,1.8211965942382813,0.509528678894043,0.9669150348852625,1.0,0.0
GRU-MAPPO,4,1.5215039978027343,0.48240545654296874,0.9692934305459611,1.0,0.0
GRU-MAPPO,5,1.3060642700195313,0.48428357696533203,0.9708857607432093,1.0,0.0
GRU-MAPPO,6,1.3476015625,0.5185586013793946,0.970499676313967,1.0,0.0
GRU-MAPPO,7,1.2662742004394532,0.6462948913574219,0.9705250017484182,1.0,0.0
GRU-MAPPO,8,0.7995546417236328,0.9157539749145508,0.9726875178935755,1.0,0.0
GRU-MAPPO,9,-0.517476806640625,1.2677196502685546,0.9798251722445295,1.0,0.0
GRU-MAPPO,10,-2.787605041503906,1.3617406463623047,0.9940170400339887,1.0,0.0
GRU-MAPPO,11,-4.564834075927735,1.3525443267822266,0.9985641107741619,1.0068333961914606,0.0
GRU-MAPPO,12,-5.827289810180664,1.3086165161132812,0.9990109423560661,1.014647022116586,0.0
GRU-MAPPO,13,-6.729477516174317,1.2814587707519531,0.9993239046279633,1.0200289093986075,0.0
GRU-MAPPO,14,-7.0878252601623535,1.2238934020996093,0.9994602939309057,1.022375026079121,0.0
GRU-MAPPO,15,-6.915464813232422,1.1772146759033204,0.9994163972970089,1.0214559150196505,0.0
GRU-MAPPO,16,-5.740754837036133,1.1938455352783204,0.9990150878195547,1.0143579855966516,0.0
GRU-MAPPO,17,-3.743965591430664,1.1995284118652343,0.9983213832049047,1.0021687849770762,0.0
GRU-MAPPO,18,-0.9728203468322754,1.2129701080322266,0.9837835796851607,1.0,0.0
GRU-MAPPO,19,1.7211880950927734,1.2168944396972656,0.9659022012300186,1.0,0.0
GRU-MAPPO,20,4.032871490478516,1.3330731201171875,0.9492265392258012,1.0,0.003404309199334987
GRU-MAPPO,21,6.024190002441406,1.6319581909179688,0.9333774453890106,1.0,0.3394173587256504
GRU-MAPPO,22,6.4621666870117185,1.577325180053711,0.9308844882759221,1.0,0.41339565248391397
GRU-MAPPO,23,5.487416687011719,1.2382159118652343,0.9398341569206063,1.0,0.1869651989916501
GRU-MAPPO,24,4.2026607666015625,0.9713149871826172,0.9500683399393148,1.0,0.0
Fixed-penalty GRU-MAPPO,1,0.196391845703125,0.7326306762695313,0.9758212209439111,1.0,0.0
Fixed-penalty GRU-MAPPO,2,-0.42442352294921876,0.5724522857666016,0.9807188406917107,1.0,0.0
Fixed-penalty GRU-MAPPO,3,-0.5622319946289063,0.509528678894043,0.9820186729236615,1.0,0.0
Fixed-penalty GRU-MAPPO,4,-0.5921740112304688,0.48240545654296874,0.9824291901925769,1.0,0.0
Fixed-penalty GRU-MAPPO,5,-0.616997802734375,0.48428357696533203,0.9827318464912805,1.0,0.0
Fixed-penalty GRU-MAPPO,6,-0.5297898864746093,0.5185586013793946,0.9821485690205967,1.0,0.0
Fixed-penalty GRU-MAPPO,7,-0.5510270843505859,0.6462948913574219,0.9818076928541325,1.0,0.0
Fixed-penalty GRU-MAPPO,8,-1.1164146423339845,0.9157539749145508,0.9844945157132831,1.0,0.0
Fixed-penalty GRU-MAPPO,9,-2.622830810546875,1.2677196502685546,0.992590135781218,1.0,0.0
Fixed-penalty GRU-MAPPO,10,-4.732786743164063,1.3617406463623047,0.9986202627677057,1.0070702720807745,0.0
Fixed-penalty GRU-MAPPO,11,-6.443498260498047,1.3525443267822266,0.9992083330201657,1.0173387009785477,0.0
Fixed-penalty GRU-MAPPO,12,-7.952328079223633,1.3086165161132812,0.999724104643864,1.0263710825342462,0.0
Fixed-penalty GRU-MAPPO,13,-8.813388092041016,1.2814587707519531,1.0,1.031365856466655,0.0
Fixed-penalty GRU-MAPPO,14,-9.098357940673829,1.2238934020996093,1.0,1.0332351604825225,0.0
Fixed-penalty GRU-MAPPO,15,-8.865294158935546,1.1772146759033204,1.0,1.0319971293500207,0.0
Fixed-penalty GRU-MAPPO,16,-7.681956176757812,1.1938455352783204,0.9996676047371633,1.0250288543796122,0.0
Fixed-penalty GRU-MAPPO,17,-5.755441009521484,1.1995284118652343,0.9990184528650344,1.0135610199216731,0.0
Fixed-penalty GRU-MAPPO,18,-3.340243225097656,1.2129701080322266,0.9967768536665291,1.0,0.0
Fixed-penalty GRU-MAPPO,19,-1.0698472900390625,1.2168944396972656,0.9831142872920962,1.0,0.0
Fixed-penalty GRU-MAPPO,20,1.0092486572265624,1.3330731201171875,0.9686508977712872,1.0,0.0
Fixed-penalty GRU-MAPPO,21,2.931962829589844,1.6319581909179688,0.9539649695079957,1.0,0.0
Fixed-penalty GRU-MAPPO,22,3.098404602050781,1.577325180053711,0.9533483125340723,1.0,0.0
Fixed-penalty GRU-MAPPO,23,2.066873596191406,1.2382159118652343,0.9622862381197528,1.0,0.0
Fixed-penalty GRU-MAPPO,24,0.8984721069335937,0.9713149871826172,0.9712788488261267,1.0,0.0
SGR-MACPO,1,0.206603515625,0.7326306762695313,0.9761908617658926,1.0,0.0
SGR-MACPO,2,-0.9583630676269531,0.5724522857666016,0.9843585984325914,1.0,0.0
SGR-MACPO,3,-1.4527544097900391,0.509528678894043,0.9874721093195223,1.0,0.0
SGR-MACPO,4,-1.7635621185302734,0.48240545654296874,0.989833441585234,1.0,0.0
SGR-MACPO,5,-2.0005279235839843,0.48428357696533203,0.9916378762466039,1.0,0.0
SGR-MACPO,6,-2.78024755859375,0.5185586013793946,0.9958941609675146,1.0,0.0
SGR-MACPO,7,-2.817703353881836,0.6462948913574219,0.9954329606986994,1.0,0.0
SGR-MACPO,8,-3.4131058349609376,0.9157539749145508,0.9982328932443355,1.0013351090100668,0.0
SGR-MACPO,9,-4.900675872802735,1.2677196502685546,0.9987049137669037,1.0085771120823341,0.0
SGR-MACPO,10,-7.057516937255859,1.3617406463623047,0.9994117791773837,1.0206251122388046,0.0
SGR-MACPO,11,-8.715588890075683,1.3525443267822266,0.9999612933712839,1.03051308491435,0.0
SGR-MACPO,12,-10.004557331085206,1.3086165161132812,1.0,1.0381087343570061,0.0
SGR-MACPO,13,-10.901325714111328,1.2814587707519531,1.0,1.0431985918751379,0.0
SGR-MACPO,14,-11.23576544189453,1.2238934020996093,1.0,1.0453094125058702,0.0
SGR-MACPO,15,-11.046746490478515,1.1772146759033204,1.0,1.0443472757071215,0.0
SGR-MACPO,16,-9.864527465820313,1.1938455352783204,1.0,1.0375456152037426,0.0
SGR-MACPO,17,-7.871123626708984,1.1995284118652343,0.9997291941790243,1.0259764023961353,0.0
SGR-MACPO,18,-5.072115814208984,1.2129701080322266,0.9987805545494289,1.0095299231099544,0.0
SGR-MACPO,19,-2.03959782409668,1.2168944396972656,0.9887198121689793,1.0,0.0
SGR-MACPO,20,0.2436390686035156,1.3330731201171875,0.9730964776148509,1.0,0.0
SGR-MACPO,21,2.272476806640625,1.6319581909179688,0.9580190276382978,1.0,0.0
SGR-MACPO,22,2.4441859741210936,1.577325180053711,0.9572422358159942,1.0,0.0
SGR-MACPO,23,1.3812841186523437,1.2382159118652343,0.9661908908393106,1.0,0.0
SGR-MACPO,24,0.10318401336669922,0.9713149871826172,0.975795297981439,1.0,0.0
