%Active Power profiles for 672 hours [MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Technologies: Photovoltaic (pv), Wind (w), Load (L),,,,,,,,,,,,,,,,,,,,,,,,,,,,
%The number next to the name of the technology indicates the number of the node to which the technology is connected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ppv11,Ppv16,Ppv23,Ppv28,Ppv3,Ppv32,Ppv6,Ppv8,Pw13,Pw22,Pw25,Pw27,Pw5,Pw9,PL10,PL12,PL14,PL15,PL17,PL18,PL19,PL20,PL24,PL26,PL27,PL29,PL30,PL33,PL4,PL6,PL7
0,0,0,0,0,0,0,0,1.7,6.642,0.256405,0.94137,2.64639,1.02984,0.047993333,0.29767,0.09901,0.09901,0.061966,0.198775,0.0758,0.147065,0.16686,0.09647,0.09647,0.048236667,0.156125,0.03853,0.094578,0.04647,0.112565
0,0,0,0,0,0,0,0,1.67025,6.4704,0.256405,0.83061,2.56904,1.16418,0.041153333,0.274843333,0.089083333,0.089083333,0.059666,0.19575,0.07428,0.149805,0.15718,0.084056667,0.084056667,0.04825,0.15564,0.03237,0.08997,0.038955,0.1084
0,0,0,0,0,0,0,0,1.649,6.0969,0.281219,0.87216,2.49186,1.3383,0.03525,0.229296667,0.07201,0.07201,0.053636,0.17378,0.068335,0.135395,0.13729,0.079593333,0.079593333,0.045793333,0.147865,0.026416,0.070846,0.03053,0.09018
0,0,0,0,0,0,0,0,1.651125,6.0867,0.306033,0.8583,2.62854,1.39302,0.026980667,0.18163,0.058566667,0.058566667,0.040606,0.13874,0.053215,0.11268,0.11439,0.064403333,0.064403333,0.039883333,0.122695,0.020542,0.054558,0.024086,0.072665
0,0,0,0,0,0,0,0,1.638375,6.2181,0.314298,0.89985,2.37286,1.46766,0.020954,0.137353333,0.043166667,0.043166667,0.030498,0.10201,0.04218,0.086825,0.089811,0.050856667,0.050856667,0.033199,0.095395,0.0163028,0.042396,0.01897825,0.059995
0,0,0,0,0,0,0,0,1.5555,6.3693,0.339112,1.12134,2.11718,1.61691,0.018258333,0.101323333,0.03661,0.03661,0.021182,0.07076,0.0323515,0.05726,0.071173,0.040803333,0.040803333,0.024152,0.06942,0.012785,0.027742,0.015112,0.0463285
0,0,0,0,0,0,0,0,1.447125,6.6318,0.347396,1.31514,2.20643,1.6617,0.016716,0.06525,0.027341667,0.027341667,0.0139552,0.0457475,0.024626,0.044298,0.058365,0.025721,0.025721,0.015495667,0.05405,0.0107628,0.019537,0.0106555,0.0310575
0,0,0,0,0,0,0,0,1.32175,6.8844,0.37221,1.50897,2.74754,1.49253,0.016047333,0.05661,0.025792667,0.025792667,0.0128336,0.04065,0.0228435,0.039215,0.055943,0.020644333,0.020644333,0.012787,0.0495565,0.0098346,0.015736,0.00982375,0.0259825
0,0,0,0,0,0,0,0,1.170875,7.0962,0.438368,1.89657,2.53946,1.26369,0.015868,0.055296667,0.023548,0.023548,0.0120584,0.03718,0.0219745,0.035448,0.054613,0.019347,0.019347,0.010983333,0.047191,0.0099206,0.0145234,0.00934425,0.0238495
0,0,0,0,0,0,0,0,1.06675,6.9954,0.413554,2.22882,2.71779,1.14924,0.015816333,0.05229,0.023304333,0.023304333,0.0123658,0.0351665,0.0211205,0.0334045,0.058518,0.023673667,0.023673667,0.010972667,0.048503,0.0098622,0.0145872,0.01007,0.0208135
0,0,0,0,0,0,0,0,1.0625,6.9651,0.339112,2.3811,2.59284,1.10946,0.017908,0.061543333,0.027341667,0.027341667,0.014119,0.0385505,0.0219745,0.041679,0.066971,0.029277333,0.029277333,0.012825667,0.057275,0.0111034,0.0155672,0.0113705,0.0273015
0,0,0,0,0,0,0,0,1.162375,6.9144,0.322582,2.49186,2.54541,1.06467,0.023964333,0.08902,0.039046667,0.039046667,0.02138,0.053515,0.030331,0.064865,0.11077,0.04815,0.04815,0.018616,0.08341,0.0169764,0.02635,0.01713425,0.044394
0.01024454,0.0200715,0.0376371,0.0150516,0.01364675,0.0079935,0.0232747,0.041073,1.243125,6.7128,0.306033,2.78256,2.42046,1.14924,0.0387,0.159463333,0.065913333,0.065913333,0.035378,0.090295,0.053215,0.119755,0.18182,0.075713333,0.075713333,0.027743667,0.133335,0.028508,0.041848,0.0295325,0.064455
0.174148,0.43353,0.327978,0.259644,0.309332,0.119904,0.286467,0.50553,1.38975,6.8136,0.272954,2.76873,1.96843,1.0995,0.051633333,0.22759,0.091866667,0.091866667,0.045606,0.128735,0.068335,0.16115,0.26047,0.098706667,0.098706667,0.037676667,0.17997,0.041088,0.06344,0.0421275,0.078255
0.436407,1.16415,0.725876,0.71118,0.873392,0.295764,0.655299,1.15641,1.472625,6.9246,0.190228,2.7549,1.564068,1.06467,0.058253333,0.2556,0.11722,0.11722,0.052406,0.154435,0.06403,0.19425,0.32792,0.10769,0.10769,0.049443333,0.163265,0.047204,0.07978,0.051115,0.08781
0.618766,1.69803,1.075362,1.10631,1.24185,0.5076,0.999056,1.76304,1.561875,7.1973,0.1157955,3.0732,1.74845,1.14924,0.05754,0.269273333,0.113043333,0.113043333,0.050288,0.140015,0.059865,0.20356,0.35608,0.101623333,0.101623333,0.05086,0.140815,0.047508,0.085796,0.05461,0.08847
0.756041,1.93488,1.182902,1.25307,1.310088,0.6315,1.070677,1.88943,1.651125,7.5,0.1323388,3.3639,2.17668,1.0995,0.057656667,0.27671,0.12744,0.12744,0.042794,0.133695,0.053215,0.19117,0.34022,0.097803333,0.097803333,0.04612,0.137535,0.047676,0.085442,0.0549275,0.08206
0.688432,1.86261,1.349589,1.24929,1.282803,0.7314,1.119008,1.97472,1.685125,7.3587,0.239856,3.378,2.48591,1.58706,0.052823333,0.242273333,0.11047,0.11047,0.046468,0.116745,0.0494015,0.16908,0.31481,0.087696667,0.087696667,0.040036667,0.128515,0.043466,0.081002,0.05352,0.088285
