step,agent,economic_cost,step_total_cost,voltage_cost,voltage_violation_area,voltage_min_pu,voltage_max_pu,pf_converged,pcc_p_kw,pcc_q_kvar,p_el,p_bat,soc,p_ht,h2_level,pending_h2_energy,h2_emergency_buy_energy,h2_planned_external_order_energy,h2_late_order_energy,external_min_eta,action_0,action_1,action_2,action_3,action_4,action_5,action_6
11,2,264492.77548217773,264492.77548217773,0.0,0.0,0.9860775410497281,1.0,True,-529.8884887695312,522.5765380859375,30.758262634277344,-0.0,0.41814929246902466,-973.0133666992188,15.000000953674316,516.5914916992188,332.23992919921875,100.79751586914062,0.0,0.0,-0.8769669532775879,-0.4973536431789398,0.9554115533828735,-0.942642331123352,-0.931785523891449,-0.968985378742218,0.9521144032478333
11,3,264492.77548217773,264492.77548217773,0.0,0.0,0.9860775410497281,1.0,True,1401.3211669921875,586.122314453125,177.97854614257812,5.019338641432114e-05,0.8999999761581421,-0.0,19.173397064208984,217.65927124023438,2208.986328125,107.75668334960938,0.0,0.16666666666666666,-0.5550536513328552,0.9151003956794739,0.9652290940284729,-0.8816241025924683,-0.9623635411262512,-0.9734752774238586,0.8823456764221191
12,0,286138.21405029297,286138.21405029297,0.0,0.0,0.9902436350216481,1.0,True,-3354.87451171875,515.4063720703125,56.47700881958008,-0.0,0.2699844241142273,-358.1095275878906,324.89044189453125,4596.49609375,0.0,1631.923583984375,0.0,0.16666666666666666,-0.9435229897499084,-0.9683815240859985,0.8507579565048218,-0.9401479959487915,-0.8965161442756653,0.9583082795143127,0.6813107132911682
12,1,286138.21405029297,286138.21405029297,0.0,0.0,0.9902436350216481,1.0,True,285.12811279296875,442.43194580078125,60.620872497558594,7.52900741645135e-05,0.8999999761581421,0.0,454.8023376464844,7130.078125,301.8614501953125,1264.3072509765625,0.0,0.0,-0.9595860838890076,0.9682403802871704,-0.8760866522789001,0.9516409635543823,0.09001768380403519,0.8964607119560242,-0.9622917175292969
12,2,286138.21405029297,286138.21405029297,0.0,0.0,0.9902436350216481,1.0,True,-799.9130859375,466.7904052734375,32.77806854248047,-0.0,0.41814929246902466,-3.178596671205014e-05,15.0,617.08642578125,1088.0037841796875,106.4565200805664,0.0,0.0,-0.868887722492218,-0.4327976405620575,0.9486334323883057,-0.9264139533042908,-0.9354997277259827,-0.9672441482543945,0.9593245983123779
12,3,286138.21405029297,286138.21405029297,0.0,0.0,0.9902436350216481,1.0,True,1337.2001953125,543.83544921875,251.93667602539062,5.019338641432114e-05,0.8999999761581421,-139.0993194580078,15.0,309.94769287109375,1850.770263671875,96.13378143310547,0.0,0.16666666666666666,-0.370158314704895,0.9171853065490723,0.9609010219573975,-0.8845043778419495,-0.9576601982116699,-0.9763363003730774,0.886529803276062
13,0,313647.3644619751,313647.3644619751,0.0,0.0,0.987290555095498,1.0,True,-3175.72509765625,504.48919677734375,56.25891876220703,-0.0,0.2699844241142273,-349.9962158203125,314.3894958496094,6122.748046875,1.52587890625e-05,1630.6109619140625,0.0,0.16666666666666666,-0.9437410831451416,-0.9691433906555176,0.8437332510948181,-0.9318605661392212,-0.8937304019927979,0.956732988357544,0.6101487278938293
13,1,313647.3644619751,313647.3644619751,0.0,0.0,0.987290555095498,1.0,True,243.1019287109375,404.6319885253906,71.54309844970703,7.52900741645135e-05,0.8999999761581421,0.0,475.0,7180.322265625,272.2145080566406,1274.9844970703125,0.0,0.0,-0.9523046016693115,0.9743198156356812,-0.8738112449645996,0.9512255191802979,0.07476669549942017,0.9124767184257507,-0.957040011882782
13,2,313647.3644619751,313647.3644619751,0.0,0.0,0.987290555095498,1.0,True,-778.2516479492188,523.195556640625,33.40314483642578,-0.0,0.41814929246902466,-0.0,18.798362731933594,599.8621826171875,1318.108642578125,115.86351776123047,0.0,0.0,-0.8663874268531799,-0.3947807252407074,0.9433635473251343,-0.9177840352058411,-0.9345088005065918,-0.9643496870994568,0.9631456136703491
13,3,313647.3644619751,313647.3644619751,0.0,0.0,0.987290555095498,1.0,True,1571.8023681640625,579.1185913085938,341.90875244140625,5.019338641432114e-05,0.8999999761581421,-0.0,15.0,394.2100524902344,2125.83935546875,87.77327728271484,0.0,0.16666666666666666,-0.14522811770439148,0.9217619895935059,0.9531112313270569,-0.8890171051025391,-0.9527347683906555,-0.9783942699432373,0.8880199790000916
